name,album,release_date,track_number,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
Concert Intro Music - Live,Licked Live In NYC,10/6/2022,1,0.0824,0.463,0.993,0.996,0.932,-12.913,0.11,118.001,0.0302,33,48640
Street Fighting Man - Live,Licked Live In NYC,10/6/2022,2,0.437,0.326,0.965,0.233,0.961,-4.803,0.0759,131.455,0.318,34,253173
Start Me Up - Live,Licked Live In NYC,10/6/2022,3,0.416,0.386,0.969,0.4,0.956,-4.936,0.115,130.066,0.313,34,263160
If You Can't Rock Me - Live,Licked Live In NYC,10/6/2022,4,0.567,0.369,0.985,0.000107,0.895,-5.535,0.193,132.994,0.147,32,305880
Don’t Stop - Live,Licked Live In NYC,10/6/2022,5,0.4,0.303,0.969,0.0559,0.966,-5.098,0.093,130.533,0.206,32,305106
Monkey Man - Live,Licked Live In NYC,10/6/2022,6,0.275,0.34,0.956,0.125,0.741,-5.539,0.0915,101.628,0.125,31,244293
Angie - Live,Licked Live In NYC,10/6/2022,7,0.561,0.262,0.81,2.76e-06,0.972,-6.851,0.0969,77.52,0.394,31,245506
Let It Bleed - Live,Licked Live In NYC,10/6/2022,8,0.317,0.413,0.971,0.000267,0.993,-5.509,0.0873,128.958,0.484,30,313586
Midnight Rambler - Live,Licked Live In NYC,10/6/2022,9,0.416,0.268,0.942,0.0408,0.959,-6.018,0.119,139.452,0.285,30,781173
Tumbling Dice - Live,Licked Live In NYC,10/6/2022,10,0.401,0.31,0.944,0.0752,0.974,-5.074,0.128,119.782,0.188,29,333413
Band Introductions - Live,Licked Live In NYC,10/6/2022,11,0.732,0.262,0.939,0.00952,0.936,-9.269,0.222,79.42,0.0317,27,284426
Thru And Thru - Live,Licked Live In NYC,10/6/2022,12,0.672,0.278,0.651,0.000425,0.893,-7.024,0.0553,95.853,0.334,27,432360
Happy - Live,Licked Live In NYC,10/6/2022,13,0.473,0.322,0.947,0.163,0.955,-4.12,0.0602,136.149,0.498,27,222560
Gimme Shelter - Live,Licked Live In NYC,10/6/2022,14,0.423,0.36,0.98,0.00219,0.98,-5.104,0.104,119.779,0.136,28,430426
You Got Me Rocking - Live,Licked Live In NYC,10/6/2022,15,0.32,0.388,0.974,0.0955,0.966,-4.982,0.0974,128.486,0.166,26,227546
Can't You Hear Me Knocking - Live,Licked Live In NYC,10/6/2022,16,0.435,0.401,0.921,0.0366,0.976,-5.664,0.0517,144.848,0.734,27,667986
Honky Tonk Women - Live,Licked Live In NYC,10/6/2022,17,0.536,0.401,0.94,0.00183,0.937,-4.858,0.0928,112.304,0.342,27,301106
Satisfaction - Live,Licked Live In NYC,10/6/2022,18,0.5,0.256,0.979,0.309,0.969,-4.472,0.0906,142.464,0.24,28,371133
It's Only Rock 'N' Roll - Live,Licked Live In NYC,10/6/2022,19,0.675,0.378,0.986,0.621,0.971,-5.232,0.0833,140.253,0.436,25,303960
When The Whip Comes Down - Live,Licked Live In NYC,10/6/2022,20,0.336,0.292,0.986,0.282,0.975,-5.827,0.131,149.383,0.179,24,291093
Brown Sugar - Live,Licked Live In NYC,10/6/2022,21,0.439,0.34,0.989,0.722,0.982,-4.734,0.108,139.361,0.164,25,337600
Sympathy For The Devil - Live,Licked Live In NYC,10/6/2022,22,0.424,0.447,0.979,2.17e-05,0.953,-4.942,0.114,109.191,0.295,26,409466
Jumpin Jack Flash - Live,Licked Live In NYC,10/6/2022,23,0.313,0.192,0.964,0.538,0.968,-4.264,0.0609,138.005,0.191,25,370733
Honky Tonk Women - Live At The El Mocambo 1977,Live At The El Mocambo,13/5/2022,1,0.162,0.43,0.901,0.011,0.694,-6.215,0.045,112.077,0.89,32,216546
All Down The Line - Live At The El Mocambo 1977,Live At The El Mocambo,13/5/2022,2,0.107,0.245,0.965,0.0547,0.95,-5.153,0.0828,157.346,0.697,29,252640
Hand Of Fate - Live At The El Mocambo 1977,Live At The El Mocambo,13/5/2022,3,0.0654,0.477,0.899,0.0376,0.727,-6.189,0.0425,129.991,0.805,29,267866
